Quantity,Reference Designator,Model
1,R1A,"28k ohm, 0603, 1%"
1,R2A,"102k ohm, 0603, 1%"
4,"R4A, R4B, R5M, JP2","0 ohm, 0603"
1,R1B,"1.87k ohm, 0603, 1%"
1,R2B,"4.22k ohm, 0603, 1%"
1,C5A,"47nF, 1206, C0G, 5%"
1,C2A,"4.7nF, 0603, C0G, 5%"
4,"C9A, C0A, C9B, C0B","100nF, 0603, X7R, 20%"
1,C5B,"330nF, 1206, X7R, 5%"
1,C6B,"240nF, 1206, X7R, 5%"
2,"C101M, C100M","10µF, 6032, tantalum, 20%"
2,"U1A, U1B","ADA4177-2, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
2,"J3M, J4M","65474-010LF, 0.1"" jumper"
2,"J1A, J1B","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
